r_kpc,v_kms_D_0.00_kpc2_per_T0,v_kms_D_0.05_kpc2_per_T0,v_kms_D_0.20_kpc2_per_T0
8.273562094245206,204.53718718224476,205.86334043986656,209.98689116450922
8.306923227689742,202.74485495561333,204.05474385018732,208.12790815321918
8.340284361134279,200.97237502044237,202.26613944277528,206.28935055018505
8.373645494578817,199.21962755526172,200.49740667149936,204.47109552883444
8.407006628023353,197.48649197633986,198.7484242298184,202.67301950759384
8.44036776146789,195.7728469710511,197.01907008446602,200.89499818458864
8.473728894912428,194.07857053010133,195.30922150798415,199.13690657114734
8.507090028356965,192.4035399786525,193.61875511013753,197.39861902414452
8.540451161801501,190.7476320063752,191.94754686824427,195.68000927721593
8.57381229524604,189.11072269646618,190.2954721564555,193.98095047087943
8.607173428690576,187.49268755366168,188.6624057740176,192.30131518159504
8.640534562135112,185.89340153128242,187.04822197255046,190.6409754497973
8.67389569557965,184.31273905734213,185.45279448237508,188.999802806933
8.707256829024187,182.75057405975053,183.87599653792225,187.37766830153666
8.740617962468724,181.20677999064856,182.3177009022567,185.7744425243773
8.773979095913262,179.6812298499019,180.77777989074738,184.18999563270722
8.807340229357798,178.1737962077908,179.2561053939182,182.62419737364738
8.840701362802335,176.684351226925,177.7525488995091,181.07691710673907
8.874062496246873,175.2127666834175,176.2669815137813,179.5480238256954
8.90742362969141,173.75891398734623,174.79927398209767,178.03738617938353
8.940784763135946,172.32266420253924,173.34929670880933,176.5448724920695
8.974145896580485,170.90388806571113,171.9169197764806,175.0703507829567
9.007507030025021,169.50245600498275,170.50201296448276,173.61368878504928
9.04086816346956,168.11823815781605,169.10444576698802,172.1747539633714
9.074229296914096,166.75110438839383,167.7240874103932,170.75341353257286
9.107590430358632,165.40092430447427,166.36080687020498,169.34953447395176
9.14095156380317,164.06756727374977,165.01447288741525,167.96298355192414
9.174312697247707,162.75090243974182,163.68495398439737,166.59362732997084
9.207673830692244,161.4507987372591,162.372118480352,165.24133218609094
9.241034964136782,160.16712490744774,161.07583450633186,163.90596432779134
9.274396097581318,158.89974951246498,159.7959700198743,162.58738980664148
9.307757231025855,157.64854094980006,158.53239281926938,161.28547453242197
9.341118364470393,156.41336746627405,157.2849705574921,160.00008428689532
9.37447949791493,155.19409717174244,156.05357075582543,158.73108473722678
9.407840631359466,153.990598052531,154.83806081720184,157.47834144908322
9.441201764804005,152.80273798462702,153.63830803928914,156.2417198994365
9.474562898248541,151.63038474665532,152.45417962734754,155.02108548909885
9.507924031693078,150.47340603266198,151.2855427068818,153.81630355501562
9.541285165137616,149.33166946472954,150.13226433611536,152.62723938234168
9.574646298582152,148.20504260545175,148.9942115183085,151.4537582163265
9.608007432026689,147.09339297028495,147.87125121394607,150.29572527403226
9.641368565471227,145.99658803980546,146.7632503528162,149.15300575590916
9.674729698915764,144.91449527188675,145.67007584600333,148.02546485725128
9.708090832360302,143.84698211382695,144.591594597816,146.91296777955552
9.741451965804838,142.79391601443754,143.52767351767122,145.81537974180586
9.774813099249375,141.7551644361208,142.4781795319545,144.7325659917041
9.808174232693911,140.73059486694825,141.44297959587516,143.6643918168672
9.84153536613845,139.72007483276178,140.42194070533452,142.61072255601175
9.874896499582986,138.7234719093126,139.41492990882568,141.57142361014388
9.908257633027524,137.74065373445515,138.4218143193795,140.5463604537728
9.941618766472061,136.77148802040966,137.44246112657424,139.53539864616525
9.9749798999166,135.81584256610745,136.47673760862185,138.5384038426571
10.008341033361134,134.87358526963368,135.52451114454553,137.5552418060378
10.041702166805672,133.94458414077653,134.58564922646093,136.58577841802156
10.075063300250209,133.02870731369794,133.6600194719721,135.62987969081894
10.108424433694747,132.1258230597301,132.74748963669347,134.6874117788215
10.141785567139284,131.23579980031352,131.84792762690694,133.75824099041117
10.175146700583822,130.35850612007738,130.96120151236215,132.84223379990345
10.208507834028357,129.49381078007315,130.08717953922834,131.93925685963595
10.241868967472895,128.64158273116814,129.2257301432026,131.0491770122084
10.275230100917431,127.80169112759776,128.37672196278095,130.171861302883
10.30859123436197,126.97400534068538,127.54002385269533,129.3071769921502
10.341952367806506,126.15839497273059,126.71550489752035,128.45499156846537
10.375313501251044,125.35472987106407,125.90303442545053,127.61517276116052
10.40867463469558,124.56288014227393,125.10248202224992,126.78758855353342
10.442035768140117,123.78271616659886,124.31371754537268,125.97210719611638
10.475396901584654,123.0141086124868,123.53661113825424,125.16859722012475
10.508758035029192,122.25692845131739,122.77103324476963,124.37692745108549
10.542119168473729,121.51104697228202,122.01685462385599,123.59696702264371
10.575480301918267,120.77633579741779,121.27394636429449,122.8285853905447
10.608841435362802,120.0526668967884,120.54217989964614,122.07165234678811
10.64220256880734,119.33991260380367,119.82142702333485,121.32603803394956
10.675563702251877,118.63794563067391,119.11155990387036,120.59161295966389
10.708924835696415,117.94663908398421,118.4124511002024,119.86824801126339
10.742285969140953,117.26586648038206,117.72397357719711,119.15581447056393
10.77564710258549,116.59550176236954,117.046000721225,118.45418402878984
10.809008236030026,115.93541931418225,116.37840635584985,117.76322880162864
10.842369369474563,115.28549397775163,115.72106475760692,117.08282134440523
10.875730502919101,114.645601068728,115.07385067185747,116.4128346673644
10.909091636363637,114.01561639255928,114.43663932870682,115.75314225105014
10.942452769808176,113.39541626060522,113.8093064589719,115.10361806176877
10.975813903252712,112.7848775062757,113.19172831018417,114.46413656712319
11.00917503669725,112.1838775011768,112.58378166261252,113.8345727516038
11.042536170141785,111.59229417124912,111.98534384529118,113.21480213222227
11.075897303586324,111.01000601288034,111.39629275203643,112.60470077417247
11.10925843703086,110.43689210898063,110.8165068574362,112.00414530650376
11.142619570475398,109.87283214499719,110.24586523279552,111.41301293779023
11.175980703919935,109.31770642485805,109.68424756202157,110.83118147177987
11.209341837364473,108.77139588682152,109.13153415743079,110.25852932300685
11.242702970809008,108.23378211921947,108.58760597546112,109.69493553235023
11.276064104253546,107.70474737607377,108.05234463227191,109.14027978252177
11.309425237698083,107.18417459256948,107.52563241921433,108.59444241346586
11.342786371142621,106.67194740036686,107.00735231815472,108.05730443765384
11.376147504587157,106.16795014273822,106.4973880166337,107.52874755525555
11.409508638031696,105.6720678895064,105.99562392284392,107.00865416917064
11.44286977147623,105.18418645177579,105.50194518040935,106.49690739990217
11.476230904920769,104.7041923964311,105.01623768294928,105.9933911002555
11.509592038365305,104.23197306039398,104.53838808841068,105.49798986984503
11.542953171809843,103.76741656462019,104.06828383315249,105.01058906939221
11.57631430525438,103.31041182781821,103.60581314576625,104.53107483479813
11.609675438698918,102.86084857987676,103.15086506061719,104.05933409097435
11.643036572143453,102.4186173749908,102.7033294310913,103.59525456541598
11.676397705587991,101.98360960446176,102.26309694253341,103.13872480150162
11.709758839032528,101.5557175091674,101.83005912486233,102.68963417150486
11.743119972477066,101.13483419168449,101.40410836484993,102.24787288930291
11.776481105921603,100.72085362805342,100.9851379180508,101.81333202276812
11.80984223936614,100.31367067916857,100.57304192037036,101.38590350582862
11.843203372810676,99.91318110178975,100.16771539926009,100.96548015018568
11.876564506255214,99.51928155916077,99.76905428452852,100.55195565667475
11.90992563969975,99.13186963122287,99.37695541875777,100.14522462625885
