r_kpc,v_kms
8.582965931863727,71.98212250625751
8.632865731462925,71.86320938316845
8.682765531062124,71.74437903108857
8.732665330661321,71.62563424198649
8.78256513026052,71.5069777190667
8.832464929859718,71.38841207974109
8.882364729458917,71.26993985848773
8.932264529058115,71.1515635096013
8.982164328657314,71.03328540983941
9.032064128256511,70.91510786096977
9.08196392785571,70.79703309222133
9.13186372745491,70.6790632626444
9.181763527054107,70.56120046338295
9.231663326653306,70.44344671986265
9.281563126252504,70.32580399389882
9.331462925851703,70.20827418572664
9.3813627254509,70.09085913595803
9.4312625250501,69.9735606274669
9.481162324649297,69.85638038720666
9.531062124248496,69.73932008796253
9.580961923847694,69.622381350041
9.630861723446893,69.50556574289924
9.680761523046092,69.38887478671693
9.73066132264529,69.27230995391251
9.780561122244489,69.15587267060644
