r_kpc,rho_kg_m3,M_enc_kg,G_eff_over_GN,v_kms_final
24.286906147623025,5.479719929835382e-24,3.537928656589151e+41,0.04980536073935508,39.61449030269129
24.32026728106756,5.419120940211434e-24,3.5383234481198475e+41,0.04980495839400825,39.5893593172091
24.353628414512098,5.35919210117739e-24,3.5387149456009844e+41,0.04980456489834955,39.564266351235815
24.386989547956635,5.299926001688662e-24,3.539103175060303e+41,0.049804180057727694,39.53921132520198
24.420350681401175,5.241315312657757e-24,3.539488162336659e+41,0.049803803681772736,39.51419416064429
24.45371181484571,5.183352786047911e-24,3.53986993308119e+41,0.0498034355843023,39.48921478017133
24.487072948290244,5.126031253976769e-24,3.540248512758485e+41,0.04980307558322894,39.46427310743007
24.520434081734784,5.069343627829951e-24,3.540623926647749e+41,0.04980272350047073,39.43936906707356
24.55379521517932,5.013282897384494e-24,3.540996199843958e+41,0.04980237916186158,39.41450258472867
24.58715634862386,4.957842129941906e-24,3.5413653572590146e+41,0.049802042397067564,39.38967358696626
24.620517482068394,4.903014469470854e-24,3.5417314236228936e+41,0.04980171303950069,39.36488200127035
24.65387861551293,4.848793135759285e-24,3.542094423484789e+41,0.0498013909262368,39.34012775600911
24.68723974895747,4.7951714235760176e-24,3.5424543812142466e+41,0.04980107589793596,39.31541078040678
24.720600882402007,4.742142701841498e-24,3.5428113210023064e+41,0.04980076779876239,39.29073100451552
24.753962015846543,4.689700412807802e-24,3.5431652668626225e+41,0.04980046647630809,39.2660883591888
24.78732314929108,4.637838071247637e-24,3.54351624263259e+41,0.04980017178151756,39.241482776055186
24.82068428273562,4.586549263652404e-24,3.543864271974467e+41,0.04979988356861366,39.216914187492776
24.854045416180156,4.535827647439046e-24,3.5442093783764855e+41,0.049799601695025945,39.1923825266045
24.88740654962469,4.485666950165711e-24,3.54455158515396e+41,0.049799326021318764,39.1678877271935
24.92076768306923,4.4360609687560465e-24,3.544890915450392e+41,0.04979905641112475,39.14342972374062
24.954128816513766,4.38700356873215e-24,3.5452273922385704e+41,0.04979879273107535,39.11900845138074
24.987489949958306,4.338488683455922e-24,3.545561038321664e+41,0.0497985348507357,39.094623845880996
25.02085108340284,4.290510313378855e-24,3.5458918763343135e+41,0.04979828264253923,39.07027584361879
25.05421221684738,4.243062525300076e-24,3.546219928743711e+41,0.04979803598172597,39.04596438156132
25.087573350291915,4.1961394516326686e-24,3.5465452178506825e+41,0.0497977947462797,39.021689397244764
