r_kpc,v_km_s,a_m_s2
15.5,314.85360764551234,6395.664144993176
15.6,314.3742777016661,6335.332466695145
15.700000000000001,313.8967817987719,6275.871950549414
15.8,313.4211050671521,6217.265133007265
15.9,312.94723286419185,6159.495003607214
16.0,312.47515076976583,6102.544990536743
16.1,312.00484458176635,6046.398946738644
16.200000000000003,311.5363003117312,5991.041136538344
16.3,311.0695041805674,5936.456222769572
16.400000000000002,310.60444261437124,5882.629254377086
16.500000000000004,310.1411022403392,5829.54565447591
16.6,309.67946988277026,5777.1912088478075
16.700000000000003,309.21953255915616,5725.552054856469
16.8,308.7612774763579,5674.614670763838
16.900000000000002,308.3046920268668,5624.365865430839
17.000000000000004,307.8497637851472,5574.792768386525
17.1,307.396480504061,5525.8828202505
17.200000000000003,306.9448301113688,5477.6237634940135
17.3,306.4948007063098,5430.003633526043
17.400000000000002,306.04638055625543,5383.010750091052
17.500000000000004,305.5995580934368,5336.633708965935
17.6,305.15432191174375,5290.861373944098
17.700000000000003,304.7106607635937,5245.682869095246
17.8,304.2685635568688,5201.087571289904
17.900000000000002,303.8280193519203,5157.06510297826
18.000000000000004,303.3890173586379,5113.605325213326
18.1,302.9515469335827,5070.698330908881
18.200000000000003,302.5155975771828,5028.334438323076
18.3,302.0811589309894,4986.504184758998
18.400000000000002,301.64822077499286,4945.19832047385
18.500000000000004,301.2167730249965,4904.40780278877
18.6,300.7868057300473,4864.123790391678
18.700000000000003,300.3583090699221,4824.337637825819
18.8,299.93127335266803,4785.040890157067
18.900000000000002,299.50568901219606,4746.225277813243
19.000000000000004,299.081546605926,4707.882711589088
19.1,298.65883681248266,4670.00527781074
19.200000000000003,298.23755042944026,4632.585233653797
19.300000000000004,297.8176783711172,4595.61500260944
19.400000000000002,297.39921166641585,4559.087170093073
19.500000000000004,296.98214145670994,4522.994479190423
19.6,296.5664589937763,4487.329826536081
19.700000000000003,296.1521556377711,4452.086258319725
19.800000000000004,295.7392228552491,4417.25696641549
19.900000000000002,295.3276522172247,4382.83528463005
20.000000000000004,294.9174353972741,4348.814685065267
20.1,294.50856416967855,4315.188774591326
20.200000000000003,294.10103040760555,4281.951291426501
20.300000000000004,293.69482608132927,4249.096101819814
20.400000000000002,293.28994325648847,4216.61719683305
20.500000000000004,292.8863740923812,4184.5086892186455
20.6,292.4841108402945,4152.764810390177
20.700000000000003,292.08314584187036,4121.3799074822855
20.800000000000004,291.6834715275053,4090.3484404969695
20.900000000000002,291.2850804147833,4059.664979533338
21.000000000000004,290.88796510694164,4029.3242020979656
21.1,290.49211829136914,3999.3208904932126
21.200000000000003,290.097532738135,3969.6499292808153
21.300000000000004,289.70420129854864,3940.3063028183087
21.400000000000002,289.31211690374926,3911.2850928658254
21.500000000000004,288.9212725633247,3882.5814762609743
21.6,288.53166136395896,3854.19072265955
21.700000000000003,288.14327646810744,3826.1081923399165
21.800000000000004,287.7561111126997,3798.329334069008
21.900000000000002,287.3701586078686,3770.8496830279237
22.000000000000004,286.985412335706,3743.664858795235
22.1,286.6018657490434,3716.770563386094
22.200000000000003,286.21951237025826,3690.1625793454236
22.300000000000004,285.83834579010426,3663.836767893417
22.400000000000002,285.458359666565,3637.7890671216956
22.500000000000004,285.07954772373193,3612.0154902385575
22.6,284.70190375070484,3586.512123861752
22.700000000000003,284.3254216005139,3561.275126357267
22.800000000000004,283.9500951890645,3536.300726222753
22.900000000000002,283.5759184941029,3511.585220514152
23.000000000000004,283.20288555420296,3487.124973314216
23.1,282.8309904677727,3462.916414241616
23.200000000000003,282.46022739208206,3438.9560369994265
23.300000000000004,282.0905905423086,3415.2403979617325
23.400000000000002,281.7220741906034,3391.766114797258
23.500000000000004,281.3546726651753,3368.5298651288485
