r_kpc,v_kms_mu_0.3_over_T0,v_kms_mu_1.0_over_T0,v_kms_mu_3.0_over_T0
36.43035872143454,108.03370014853404,53.647948684363996,7.260468768153387
36.46371985487907,107.98450169177926,53.62351743410344,7.257162168628799
36.49708098832361,107.93536865436258,53.59911867056636,7.253859969956493
36.53044212176815,107.88630090445756,53.574752328280226,7.250562163180134
36.56380325521268,107.83729831051448,53.550418341909065,7.24726873936405
36.59716438865722,107.7883607412584,53.526116646254195,7.243979689593289
36.630525522101756,107.73948806569042,53.50184717625484,7.240695004973473
36.6638866555463,107.69068015308811,53.47760986698653,7.237414676630798
36.69724778899083,107.64193687300471,53.45340465366247,7.2341386957120735
36.73060892243537,107.59325809526888,53.42923147163312,7.230867053384488
36.76397005587991,107.54464368998495,53.40509025638562,7.227599740835739
36.797331189324446,107.49609352753437,53.38098094354494,7.224336749273873
36.83069232276898,107.44760747857285,53.35690346887251,7.2210780699273185
36.86405345621352,107.39918541403237,53.33285776826716,7.217823694044828
36.897414589658055,107.35082720512052,53.30884377776494,7.2145736128953235
36.93077572310259,107.30253272332088,53.28486143353862,7.211327817768006
36.96413685654713,107.25430184039163,53.26091067189805,7.2080862999722894
36.997497989991665,107.20613442836695,53.23699142929,7.204849050837636
37.0308591234362,107.15803035955607,53.21310364229802,7.201616061713617
37.064220256880745,107.10998950654384,53.1892472476429,7.198387323969915
37.097581390325274,107.06201174218997,53.165422182181395,7.1951628289961285
37.13094252376982,107.01409693962867,53.141628382907825,7.191942568201859
37.164303657214354,106.96624497227008,53.11786578695266,7.188726533016636
37.19766479065889,106.91845571379801,53.09413433158311,7.185514714889844
37.23102592410343,106.87072903817173,53.07043395420289,7.182307105290734
37.264387057547964,106.82306481962482,53.04676459235237,7.179103695708327
37.2977481909925,106.77546293266506,53.02312618370773,7.175904477651436
37.33110932443704,106.72792325207395,52.999518666081975,7.1727094426485545
37.36447045788157,106.68044565290795,52.975941977424135,7.169518582247882
37.39783159132611,106.633030010497,52.95239605581937,7.166331888017265
37.431192724770646,106.58567620044455,52.92888083948905,7.163149351544116
37.46455385821519,106.53838409862763,52.90539626679006,7.159970964435456
37.49791499165972,106.49115358119717,52.8819422762156,7.156796718317768
37.53127612510426,106.44398452457634,52.85851880639442,7.153626604837078
37.5646372585488,106.39687680546199,52.83512579609097,7.150460615658847
37.597998391993336,106.34983030082357,52.81176318420519,7.147298742467914
37.63135952543787,106.30284488790298,52.78843090977255,7.144140976968496
37.66472065888241,106.25592044421431,52.765128911964105,7.140987310884166
37.698081792326946,106.20905684754392,52.74185713008549,7.137837735957765
37.73144292577148,106.16225397595072,52.7186155035783,7.13469224395142
37.76480405921602,106.11551170776397,52.69540397201837,7.1315508266464605
37.798165192660555,106.0688299215856,52.67222247511699,7.128413475843368
37.83152632610509,106.02220849628847,52.64907095272011,7.125280183361804
37.864887459549635,105.97564731101563,52.625949344808035,7.122150941040555
37.898248592994165,105.92914624518195,52.602857591495784,7.119025740737456
37.93160972643871,105.88270517847194,52.57979563303308,7.115904574329339
37.964970859883245,105.83632399084087,52.556763409803345,7.112787433712095
37.99833199332778,105.79000256251354,52.53376086232458,7.1096743108005676
38.03169312677232,105.74374077398451,52.51078793124842,7.106565197528479
38.065054260216854,105.6975385060183,52.48784455736084,7.103460085848472
38.09841539366139,105.65139563964775,52.464930681581166,7.10035896773204
38.13177652710593,105.6053120561748,52.442046244962306,7.097261835169524
38.165137660550464,105.55928763717044,52.41919118869061,7.094168680169952
38.198498793995,105.51332226447317,52.396365454086094,7.091079494761197
38.23185992743954,105.46741582019004,52.37356898260144,7.087994270989796
