r_kpc,rho_bulge,rho_disk,rho_total,M_enc_Msun,G_eff,v_kms,a_kms2_per_kpc,a_m_s2
1.4510810810810812,69422245.81035604,1122816841.1339924,1192239086.9443486,9511007626.712135,0.0006439822926585745,2054.4916852321503,2908821.663875163,9.426851071853351e-08
1.4911111111111113,63923047.40447536,1105662164.3224869,1169585211.7269623,9830865143.341583,0.0006197639405559631,2021.4081773810724,2740299.4915236677,8.880707786140073e-08
1.5311411411411413,58960929.511869326,1088769580.9582171,1147730510.4700866,10151572241.066456,0.0005968402476911552,1989.2441645921876,2584407.302526596,8.375495497882143e-08
1.5711711711711713,54473788.26009084,1072135086.7118775,1126608874.9719684,10473058557.495594,0.0005750963540798785,1957.9217107075895,2439872.558508456,7.907090190163035e-08
1.6112012012012014,50407788.01529945,1055754738.433308,1106162526.4486074,10795254463.242575,0.000554432348099565,1927.3732804113063,2305588.997372869,7.471906710906047e-08
1.6512312312312314,46716119.55982082,1039624653.2167845,1086340772.7766054,11118091060.222586,0.0005347608774612639,1897.5401760573018,2180590.2478399496,7.066813263394753e-08
1.6912612612612614,43357965.42368519,1023741007.4805882,1067098972.9042734,11441500191.180882,0.0005160051930526565,1868.371231659173,2064028.272419801,6.689061544692643e-08
1.7312912912912914,40297634.45807759,1008100036.0606387,1048397670.5187162,11765414457.316994,0.0004980975391739592,1839.8217179120388,1955155.6521584128,6.336229334401941e-08
1.7713213213213215,37503835.27549497,992698031.317976,1030201866.5934709,12089767241.526728,0.0004809778224919586,1811.8524210739104,1853310.9471648943,6.006173051353047e-08
1.8113513513513515,34949064.10406118,977531342.2598755,1012480406.3639367,12414492735.311062,0.00046459250643107313,1784.4288656226252,1757906.5343074934,5.696988338253039e-08
1.8513813813813815,32609087.28179533,962596373.6743944,995205460.9561898,12739525967.824142,0.0004488936888112496,1757.5206562410312,1668418.4513129233,5.406977148645896e-08
1.8914114114114116,30462502.33039991,947889585.2781372,978352087.6085371,13064802835.871632,0.0004338383291420569,1731.1009191847656,1584377.8748094426,5.1346201291249456e-08
1.9314414414414418,28490364.51017361,933407490.8770448,961897855.3872184,13390260133.943878,0.00041938759869009144,1705.1458266979093,1505363.9359293245,4.878553336281037e-08
1.9714714714714718,26675868.13083155,919146657.5400045,945822525.6708361,13715835583.585526,0.00040550633169854437,1679.6341910497388,1430997.6363176273,4.63754851982544e-08
2.0115015015015016,25004073.802654315,905103704.7850834,930107778.5877377,14041467861.579113,0.00039216256028766163,1654.5471171173072,1360936.6737821193,4.410496353659617e-08
2.0515315315315314,23461674.35542721,891275303.7781986,914736978.1336259,14367096626.559101,0.00037932711885461354,1629.867704346995,1294871.023352104,4.196392115059032e-08
2.0915615615615617,22036793.40442887,877658176.5440276,899694969.9484564,14692662543.78453,0.0003669733064121654,1605.580790482936,1232519.148441012,3.994323405884663e-08
2.1315915915915915,20718811.562155794,864249095.1889757,884967906.7511315,15018107307.8869,0.0003550765974032611,1581.6727307211725,1173624.7398306911,3.803459584348507e-08
2.1716216216216218,19498216.127725158,851044881.1360143,870543097.2637395,15343373663.47987,0.00034361439321526705,1558.1312069910255,1117953.8986107588,3.623042635539775e-08
2.2116516516516516,18366470.7694027,838042404.371211,856408875.1406138,15668405423.572296,0.0003325658079795032,1534.9450629232265,1065292.6940067147,3.452379256883081e-08
2.251681681681682,17315902.278286994,825238582.7017695,842554484.9800565,15993147485.769392,0.00032191148334590803,1512.1041607727977,1015445.0389802663,3.2908339734264676e-08
2.2917117117117116,16339601.935767353,812630381.025407,828969982.9611742,16317545846.279629,0.0003116334278215676,1489.5992571514662,968230.8361765398,3.137823129264207e-08
2.331741741741742,15431339.422250453,800214810.6108927,815646150.0331432,16641547611.770872,0.0003017148769962682,1467.4218949117512,923484.3546858339,2.992809626978757e-08
2.3717717717717717,14585487.514477657,787988928.3895805,802574415.9040581,16965101009.13773,0.00029214017158057503,1445.564308930944,881052.8045428137,2.85529830790626e-08
